Municipio,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median income (dollars),Mean income (dollars)
Comerío,29.2%,16.9%,19.4%,13.4%,11.1%,6.8%,1.4%,1.8%,0.0%,0.0%,"16,153","23,634"
Corozal,24.2%,11.2%,19.3%,12.1%,13.7%,10.5%,5.4%,3.1%,0.5%,0.0%,"21,670","30,815"
Culebra,12.5%,16.8%,18.8%,16.6%,18.6%,6.9%,3.6%,2.9%,1.1%,2.2%,"25,483","35,542"
Dorado,20.2%,5.6%,16.1%,10.9%,11.3%,13.3%,8.2%,5.1%,4.3%,5.1%,"31,485","57,560"
Fajardo,20.5%,9.9%,20.6%,15.0%,14.6%,12.6%,3.7%,2.0%,0.1%,0.9%,"24,309","35,071"
Florida,22.6%,10.7%,21.8%,17.9%,12.9%,9.7%,2.5%,2.0%,0.0%,0.0%,"21,560","27,759"
Guánica,34.7%,16.5%,17.8%,14.2%,10.1%,5.1%,1.1%,0.5%,0.0%,0.1%,"14,525","20,569"
Guayama,28.6%,12.4%,18.6%,10.4%,12.0%,10.1%,4.5%,2.3%,0.8%,0.3%,"19,165","29,299"
Guayanilla,22.3%,15.2%,20.6%,16.8%,14.3%,6.7%,3.4%,0.5%,0.0%,0.1%,"21,312","26,359"
Guaynabo,14.0%,6.6%,12.6%,9.5%,11.9%,15.0%,9.3%,9.4%,4.9%,6.9%,"43,304","71,552"
Gurabo,16.3%,8.7%,12.8%,8.5%,14.6%,16.0%,7.6%,8.5%,2.7%,4.2%,"39,533","65,368"
Hatillo,18.2%,11.5%,21.2%,11.4%,13.6%,12.2%,6.7%,3.4%,0.7%,1.2%,"24,407","36,977"
Hormigueros,17.7%,12.7%,24.0%,12.5%,12.7%,11.1%,5.6%,3.1%,0.2%,0.5%,"22,542","34,257"
Humacao,16.0%,12.1%,20.5%,14.7%,16.3%,9.0%,5.4%,3.5%,0.8%,1.7%,"25,940","38,593"
Isabela,27.7%,11.3%,20.2%,11.8%,11.9%,9.6%,4.0%,2.0%,0.9%,0.5%,"19,965","28,937"
Jayuya,26.9%,14.2%,20.4%,15.6%,12.2%,7.6%,2.8%,0.0%,0.3%,0.0%,"18,363","23,217"
Juana Díaz,22.8%,12.0%,18.6%,13.4%,13.7%,11.2%,4.4%,3.2%,0.3%,0.3%,"23,035","31,695"
Juncos,21.1%,11.4%,16.1%,14.0%,14.0%,12.8%,6.3%,3.3%,0.7%,0.2%,"25,931","34,874"
Lajas,27.7%,14.9%,23.0%,10.7%,10.2%,9.6%,2.6%,1.0%,0.3%,0.1%,"17,131","24,495"
Lares,27.8%,10.9%,24.2%,15.1%,10.8%,6.8%,2.1%,1.7%,0.4%,0.2%,"18,844","25,725"
Las Marías,32.9%,13.1%,18.7%,11.7%,13.1%,8.8%,1.2%,0.5%,0.0%,0.0%,"16,506","22,419"
Las Piedras,21.8%,13.0%,16.9%,11.9%,14.1%,10.9%,5.3%,4.4%,0.8%,1.0%,"23,193","35,832"
Loíza,25.1%,12.8%,15.7%,13.9%,15.6%,10.3%,4.2%,2.1%,0.1%,0.1%,"21,306","29,330"
Luquillo,23.0%,8.6%,23.4%,15.0%,14.0%,9.1%,2.4%,3.4%,0.2%,0.9%,"22,585","31,745"
Manatí,23.7%,13.6%,19.9%,11.4%,12.8%,8.9%,5.2%,3.2%,0.8%,0.5%,"20,385","32,154"
Maricao,25.6%,12.9%,21.9%,18.0%,12.4%,6.8%,1.8%,0.5%,0.0%,0.0%,"20,133","24,198"
Maunabo,20.3%,15.4%,17.3%,18.1%,15.1%,11.5%,2.2%,0.1%,0.0%,0.0%,"21,951","26,696"
Mayagüez,33.8%,11.5%,19.1%,11.7%,8.5%,7.4%,2.8%,2.9%,0.7%,1.5%,"16,788","31,049"
Moca,24.9%,13.8%,16.8%,13.2%,12.3%,8.3%,5.7%,3.1%,0.3%,1.5%,"20,331","35,493"
Morovis,23.3%,11.9%,19.6%,13.2%,11.8%,11.8%,5.3%,2.4%,0.3%,0.5%,"22,282","31,572"
Naguabo,19.2%,12.4%,28.9%,15.5%,12.7%,8.1%,2.7%,0.0%,0.3%,0.2%,"20,486","26,126"
Naranjito,26.3%,10.1%,21.3%,15.3%,14.4%,6.5%,3.4%,0.9%,0.9%,0.8%,"20,616","30,859"
Orocovis,31.6%,14.1%,19.7%,11.1%,10.9%,8.0%,2.7%,1.6%,0.2%,0.2%,"16,869","25,617"
Patillas,27.3%,13.2%,18.9%,14.1%,10.1%,11.9%,3.0%,1.4%,0.0%,0.2%,"20,778","27,279"
Peñuelas,24.7%,12.7%,23.3%,13.2%,10.4%,10.4%,2.9%,1.7%,0.0%,0.7%,"20,072","29,602"
Ponce,29.8%,12.1%,17.5%,11.6%,11.1%,9.1%,4.0%,2.9%,1.0%,1.0%,"18,994","32,201"
Quebradillas,24.9%,14.9%,18.6%,13.4%,13.5%,10.3%,2.4%,1.7%,0.2%,0.0%,"20,209","26,891"
Rincón,17.8%,11.1%,18.4%,15.5%,11.9%,11.7%,6.7%,4.7%,1.6%,0.7%,"26,771","38,140"
Río Grande,20.6%,10.1%,17.7%,12.4%,16.3%,13.5%,5.4%,3.3%,0.6%,0.1%,"25,963","35,286"
Sabana Grande,21.2%,15.4%,22.5%,15.8%,10.8%,9.7%,3.0%,1.3%,0.1%,0.3%,"20,464","28,827"
Salinas,25.6%,13.4%,19.4%,15.2%,10.8%,10.5%,2.9%,1.7%,0.3%,0.2%,"20,123","27,484"
San Germán,31.1%,14.1%,18.6%,13.8%,9.4%,7.3%,2.4%,2.3%,0.5%,0.4%,"17,862","26,536"
San Juan,25.1%,8.7%,14.8%,10.9%,11.0%,11.5%,6.2%,6.0%,2.3%,3.4%,"26,111","49,374"
San Lorenzo,26.0%,14.0%,18.1%,12.4%,13.0%,8.8%,4.6%,2.2%,0.6%,0.4%,"19,629","29,453"
San Sebastián,28.7%,14.7%,21.4%,10.7%,11.1%,7.7%,3.4%,1.6%,0.1%,0.6%,"17,557","27,277"
Santa Isabel,23.8%,12.0%,19.5%,13.7%,11.6%,10.2%,2.9%,3.6%,1.7%,0.9%,"22,680","34,015"
Toa Alta,15.1%,8.7%,16.5%,13.9%,12.6%,15.2%,9.2%,6.2%,1.7%,1.0%,"32,456","44,757"
Toa Baja,18.0%,8.1%,18.5%,12.5%,15.6%,14.8%,6.4%,4.1%,1.3%,0.7%,"28,719","39,626"
Trujillo Alto,13.6%,7.6%,16.2%,11.6%,15.7%,15.8%,8.3%,6.0%,3.3%,2.0%,"35,821","49,919"
Utuado,34.5%,11.8%,19.7%,11.8%,7.9%,9.6%,2.7%,0.9%,0.3%,0.6%,"17,164","24,766"
Vega Alta,17.7%,13.6%,19.2%,11.9%,10.4%,12.2%,5.7%,5.1%,3.1%,1.2%,"24,778","42,551"
Vega Baja,21.0%,13.1%,18.0%,12.3%,14.3%,10.1%,6.4%,2.9%,0.7%,1.2%,"23,701","37,287"
Vieques,23.2%,11.2%,33.6%,14.1%,12.2%,3.8%,2.0%,0.0%,0.0%,0.0%,"17,062","21,821"
Villalba,22.8%,11.9%,18.3%,14.3%,13.2%,9.4%,4.7%,4.1%,1.1%,0.3%,"22,461","33,109"
Yabucoa,23.6%,13.6%,20.5%,15.3%,13.4%,9.0%,2.2%,1.8%,0.5%,0.0%,"19,972","27,239"
Yauco,26.0%,13.8%,16.8%,14.3%,11.8%,11.1%,3.6%,1.8%,0.2%,0.7%,"19,827","29,101"
