Municipio,Population served,Total Population,Under 18Y
Utuado,Percent below poverty level,53.7%,64.4%
Vega Alta,Percent below poverty level,42.3%,48.6%
Vega Baja,Percent below poverty level,43.2%,55.3%
Vieques,Percent below poverty level,54.1%,87.6%
Villalba,Percent below poverty level,42.7%,50.7%
Yabucoa,Percent below poverty level,49.7%,63.1%
Yauco,Percent below poverty level,43.7%,53.8%
Adjuntas,Below poverty level,"11,363","2,482"
Aguada,Below poverty level,"17,874","3,512"
Aguadilla,Below poverty level,"26,316","5,699"
Aguas Buenas,Below poverty level,"10,305","2,689"
Aibonito,Below poverty level,"10,416","2,503"
Añasco,Below poverty level,"11,819","2,387"
Arecibo,Below poverty level,"38,784","8,688"
Arroyo,Below poverty level,"9,102","2,213"
Barceloneta,Below poverty level,"10,535","2,450"
Barranquitas,Below poverty level,"14,345","3,954"
Bayamón,Below poverty level,"62,443","15,387"
Cabo Rojo,Below poverty level,"19,720","3,502"
Caguas,Below poverty level,"46,638","10,876"
Camuy,Below poverty level,"13,563","2,933"
Canóvanas,Below poverty level,"15,289","4,160"
Carolina,Below poverty level,"47,473","11,887"
Cataño,Below poverty level,"10,501","2,567"
Cayey,Below poverty level,"16,494","3,542"
Ceiba,Below poverty level,"4,670","1,158"
Ciales,Below poverty level,"9,403","1,969"
Cidra,Below poverty level,"15,496","3,410"
Coamo,Below poverty level,"17,166","3,603"
Comerío,Below poverty level,"10,020","2,369"
Corozal,Below poverty level,"15,796","3,653"
Culebra,Below poverty level,278,44
Dorado,Below poverty level,"10,932","2,443"
Fajardo,Below poverty level,"13,572","3,738"
Florida,Below poverty level,"5,500","1,444"
Guánica,Below poverty level,"8,971","1,779"
Guayama,Below poverty level,"16,304","4,041"
Guayanilla,Below poverty level,"9,394","2,253"
Guaynabo,Below poverty level,"22,396","4,837"
Gurabo,Below poverty level,"12,880","3,103"
Hatillo,Below poverty level,"15,031","2,970"
Hormigueros,Below poverty level,"6,367","1,130"
Humacao,Below poverty level,"18,710","4,470"
Isabela,Below poverty level,"20,452","3,790"
Jayuya,Below poverty level,"8,041","1,900"
Juana Díaz,Below poverty level,"20,358","4,722"
Juncos,Below poverty level,"14,031","3,435"
Lajas,Below poverty level,"12,980","2,884"
Lares,Below poverty level,"15,493","3,224"
Las Marías,Below poverty level,"4,622","1,194"
Las Piedras,Below poverty level,"13,709","3,026"
Loíza,Below poverty level,"10,675","2,683"
Luquillo,Below poverty level,"8,011","1,697"
Manatí,Below poverty level,"17,778","4,021"
Maricao,Below poverty level,"2,785",583
Maunabo,Below poverty level,"5,269","1,180"
Mayagüez,Below poverty level,"38,354","8,502"
Moca,Below poverty level,"17,346","3,489"
Morovis,Below poverty level,"13,586","2,895"
Naguabo,Below poverty level,"11,155","3,234"
Naranjito,Below poverty level,"14,187","3,683"
Orocovis,Below poverty level,"11,866","2,646"
Patillas,Below poverty level,"7,716","1,837"
Peñuelas,Below poverty level,"10,569","2,698"
Ponce,Below poverty level,"67,242","16,540"
Quebradillas,Below poverty level,"10,826","2,224"
Rincón,Below poverty level,"6,243","1,252"
Río Grande,Below poverty level,"16,786","3,885"
Sabana Grande,Below poverty level,"10,350","2,424"
Salinas,Below poverty level,"12,908","3,311"
San Germán,Below poverty level,"15,579","3,565"
San Juan,Below poverty level,"132,586","32,728"
San Lorenzo,Below poverty level,"16,961","3,252"
San Sebastián,Below poverty level,"20,449","4,473"
Santa Isabel,Below poverty level,"9,377","2,185"
Toa Alta,Below poverty level,"21,469","5,103"
Toa Baja,Below poverty level,"26,378","6,102"
Trujillo Alto,Below poverty level,"19,642","4,601"
Utuado,Below poverty level,"15,053","3,148"
Vega Alta,Below poverty level,"14,782","3,223"
Vega Baja,Below poverty level,"23,265","5,136"
Vieques,Below poverty level,"4,433","1,291"
Villalba,Below poverty level,"9,342","2,127"
Yabucoa,Below poverty level,"15,070","3,216"
Yauco,Below poverty level,"14,770","3,100"
