Municipio,Population served,Total Population,Under 18Y,15 and under,16 and under 2020 census
Ceiba,Percent below poverty level,41.6%,64.7%,,
Ciales,Percent below poverty level,58.2%,73.0%,,
Cidra,Percent below poverty level,36.2%,43.0%,,
Coamo,Percent below poverty level,52.0%,59.9%,,
Comerío,Percent below poverty level,53.0%,74.8%,,
Corozal,Percent below poverty level,44.2%,57.7%,,
Culebra,Percent below poverty level,20.8%,23.0%,,
Dorado,Percent below poverty level,29.2%,32.7%,,
Fajardo,Percent below poverty level,41.5%,63.1%,,
Florida,Percent below poverty level,50.6%,72.9%,,
Guánica,Percent below poverty level,64.7%,74.6%,,
Guayama,Percent below poverty level,48.6%,62.9%,,
Guayanilla,Percent below poverty level,50.2%,62.9%,,
Guaynabo,Percent below poverty level,24.3%,32.7%,,
Gurabo,Percent below poverty level,32.0%,41.3%,,
Hatillo,Percent below poverty level,36.4%,46.9%,,
Hormigueros,Percent below poverty level,40.1%,52.6%,,
Humacao,Percent below poverty level,38.5%,57.1%,,
Isabela,Percent below poverty level,46.7%,54.5%,,
Jayuya,Percent below poverty level,54.9%,67.7%,,
Juana Díaz,Percent below poverty level,42.9%,49.4%,,
Juncos,Percent below poverty level,34.0%,44.4%,,
Lajas,Percent below poverty level,53.0%,68.2%,,
Lares,Percent below poverty level,54.9%,67.5%,,
Las Marías,Percent below poverty level,54.0%,71.0%,,
Las Piedras,Percent below poverty level,37.5%,49.2%,,
Loíza,Percent below poverty level,44.8%,62.8%,,
Luquillo,Percent below poverty level,43.8%,53.5%,,
Manatí,Percent below poverty level,45.9%,61.3%,,
Maricao,Percent below poverty level,52.6%,67.4%,,
Maunabo,Percent below poverty level,52.8%,69.5%,,
Mayagüez,Percent below poverty level,53.0%,73.4%,,
Moca,Percent below poverty level,46.0%,53.3%,,
Morovis,Percent below poverty level,48.7%,55.4%,,
Naguabo,Percent below poverty level,48.0%,66.8%,,
Naranjito,Percent below poverty level,50.5%,73.2%,,
Orocovis,Percent below poverty level,52.5%,60.6%,,
Patillas,Percent below poverty level,47.8%,70.5%,,
Peñuelas,Percent below poverty level,51.0%,65.6%,,
Ponce,Percent below poverty level,50.9%,66.8%,,
Quebradillas,Percent below poverty level,45.1%,53.8%,,
Rincón,Percent below poverty level,44.6%,59.0%,,
Río Grande,Percent below poverty level,37.0%,51.6%,,
Sabana Grande,Percent below poverty level,44.5%,61.2%,,
Salinas,Percent below poverty level,48.0%,66.2%,,
San Germán,Percent below poverty level,51.9%,67.0%,,
San Juan,Percent below poverty level,39.5%,59.4%,,
San Lorenzo,Percent below poverty level,44.6%,51.0%,,
San Sebastián,Percent below poverty level,52.4%,65.8%,,
Santa Isabel,Percent below poverty level,45.7%,56.0%,,
Toa Alta,Percent below poverty level,33.8%,43.6%,,
Toa Baja,Percent below poverty level,33.8%,44.8%,,
Trujillo Alto,Percent below poverty level,28.2%,36.9%,,
Utuado,Percent below poverty level,53.5%,68.3%,,
Vega Alta,Percent below poverty level,41.3%,47.8%,,
Vega Baja,Percent below poverty level,42.3%,53.1%,,
Vieques,Percent below poverty level,59.5%,88.0%,,
Villalba,Percent below poverty level,41.8%,50.7%,,
Yabucoa,Percent below poverty level,49.7%,65.0%,,
Yauco,Percent below poverty level,44.6%,54.8%,,
Adjuntas,Below poverty level,"11,107","2,509",,
Aguada,Below poverty level,"17,571","3,604",,
Aguadilla,Below poverty level,"25,791","5,539",,
Aguas Buenas,Below poverty level,"10,388","2,462",,
Aibonito,Below poverty level,"10,973","2,265",,
Añasco,Below poverty level,"11,327","2,315",,
Arecibo,Below poverty level,"36,775","7,910",,
Arroyo,Below poverty level,"8,463","1,998",,
Barceloneta,Below poverty level,"10,233","2,099",,
Barranquitas,Below poverty level,"14,289","3,762",,
Bayamón,Below poverty level,"61,516","14,679",,
Cabo Rojo,Below poverty level,"18,013","3,202",,
Caguas,Below poverty level,"46,022","10,641",,
Camuy,Below poverty level,"12,696","2,675",,
Canóvanas,Below poverty level,"14,219","3,654",,
Carolina,Below poverty level,"44,711","11,173",,
Cataño,Below poverty level,"10,066","2,296",,
Cayey,Below poverty level,"15,617","3,302",,
Ceiba,Below poverty level,"4,599","1,074",,
Ciales,Below poverty level,"9,801","2,108",,
Cidra,Below poverty level,"14,366","2,982",,
Coamo,Below poverty level,"17,750","3,474",,
Comerío,Below poverty level,"9,943","2,454",,
Corozal,Below poverty level,"15,142","3,651",,
Culebra,Below poverty level,267,47,,
Dorado,Below poverty level,"10,439","2,144",,
Fajardo,Below poverty level,"13,114","3,443",,
Florida,Below poverty level,"5,863","1,502",,
Guánica,Below poverty level,"8,474","1,620",,
Guayama,Below poverty level,"16,414","3,856",,
Guayanilla,Below poverty level,"8,702","1,932",,
Guaynabo,Below poverty level,"21,393","4,182",,
Gurabo,Below poverty level,"12,871","2,878",,
Hatillo,Below poverty level,"13,868","2,797",,
Hormigueros,Below poverty level,"6,171","1,140",,
Humacao,Below poverty level,"19,315","4,602",,
Isabela,Below poverty level,"19,837","3,699",,
Jayuya,Below poverty level,"8,025","1,915",,
Juana Díaz,Below poverty level,"19,687","4,225",,
Juncos,Below poverty level,"12,527","3,009",,
Lajas,Below poverty level,"12,223","2,456",,
Lares,Below poverty level,"15,152","3,065",,
Las Marías,Below poverty level,"4,712","1,149",,
Las Piedras,Below poverty level,"13,111","2,944",,
Loíza,Below poverty level,"10,366","2,539",,
Luquillo,Below poverty level,"7,707","1,535",,
Manatí,Below poverty level,"17,869","4,104",,
Maricao,Below poverty level,"2,725",580,,
Maunabo,Below poverty level,"5,535","1,187",,
Mayagüez,Below poverty level,"37,469","8,276",,
Moca,Below poverty level,"17,064","3,401",,
Morovis,Below poverty level,"13,879","2,834",,
Naguabo,Below poverty level,"11,099","2,973",,
Naranjito,Below poverty level,"14,676","3,626",,
Orocovis,Below poverty level,"11,147","2,425",,
Patillas,Below poverty level,"7,513","1,755",,
Peñuelas,Below poverty level,"10,240","2,600",,
Ponce,Below poverty level,"66,952","15,831",,
Quebradillas,Below poverty level,"10,559","2,135",,
Rincón,Below poverty level,"6,800","1,294",,
Río Grande,Below poverty level,"17,042","3,883",,
Sabana Grande,Below poverty level,"9,984","2,344",,
Salinas,Below poverty level,"12,122","3,087",,
San Germán,Below poverty level,"16,193","3,543",,
San Juan,Below poverty level,"132,143","31,623",,
San Lorenzo,Below poverty level,"16,674","3,090",,
San Sebastián,Below poverty level,"20,408","4,296",,
Santa Isabel,Below poverty level,"9,169","2,082",,
Toa Alta,Below poverty level,"22,427","4,996",,
Toa Baja,Below poverty level,"24,898","5,507",,
Trujillo Alto,Below poverty level,"18,871","4,106",,
Utuado,Below poverty level,"14,852","3,196",,
Vega Alta,Below poverty level,"14,391","3,037",,
Vega Baja,Below poverty level,"22,724","4,728",,
Vieques,Below poverty level,"4,850","1,249",,
Villalba,Below poverty level,"9,065","2,055",,
Yabucoa,Below poverty level,"14,826","3,113",,
Yauco,Below poverty level,"14,855","3,002",,
